"label","Perturbation","value"
"ODE-ODE","diff1",-0.423161972578639
"ODE-ODE","diff1",0.232558394666726
"ODE-ODE","diff1",-0.298954490054074
"ODE-ODE","diff1",-0.301683257252901
"ODE-ODE","diff1",0.397118570818589
"ODE-ODE","diff1",0.255425930461567
"ODE-ODE","diff1",0.144328335526267
"ODE-ODE","diff1",-0.426213811559353
"ODE-ODE","diff1",0.033432142812865
"ODE-ODE","diff1",-0.163313234213098
"ODE-ODE","diff1",-0.33802976810286
"ODE-ODE","diff1",-0.045667115394283
"ODE-ODE","diff1",-0.024981945604512
"ODE-ODE","diff1",0.382738455242128
"ODE-ODE","diff1",0.161003063802932
"ODE-ODE","diff1",-0.759251702317279
"ODE-ODE","diff1",-0.0916211378669608
"ODE-ODE","diff1",0.337962821049503
"ODE-ODE","diff1",0.0033884446300691
"ODE-ODE","diff1",0.15657461638202
"ODE-ODE","diff1",-0.19105350463785
"ODE-ODE","diff1",0.076217538643384
"ODE-ODE","diff1",-0.34057541176753
"ODE-ODE","diff1",-0.130166441877373
"ODE-ODE","diff1",-0.087998618657526
"ODE-ODE","diff1",0.128244503617771
"ODE-ODE","diff1",-0.601871513926138
"ODE-ODE","diff1",-1.67305671930631
"ODE-ODE","diff1",0.144746822385875
"ODE-ODE","diff1",-0.0686180337415984
"ODE-ODE","diff1",0.236769117699592
"ODE-ODE","diff1",0.2169357191444
"ODE-ODE","diff1",0.164455453374814
"ODE-ODE","diff1",-0.646465901166909
"ODE-ODE","diff1",-0.196152242648681
"ODE-ODE","diff1",0.220380841824261
"ODE-ODE","diff1",-0.228730174327072
"ODE-ODE","diff1",-0.147250586693747
"ODE-ODE","diff1",-0.118185283980563
"ODE-ODE","diff1",-0.251579405673561
"ODE-ODE","diff1",-0.092483933859091
"ODE-ODE","diff1",-0.442043552334969
"ODE-ODE","diff1",-0.011021129295806
"ODE-ODE","diff1",0.045109739644409
"ODE-ODE","diff1",0.080588442212905
"ODE-ODE","diff1",-0.0802199498912586
"ODE-ODE","diff1",0.000549415313771007
"ODE-ODE","diff1",-0.237229113322304
"ODE-ODE","diff1",-0.035448661312415
"ODE-ODE","diff1",-0.047310192138997
"ODE-ODE","diff1",-0.00302253394833699
"ODE-ODE","diff1",0.0103607008212712
"ODE-ODE","diff1",-0.260762094430432
"ODE-ODE","diff1",0.26466401102141
"ODE-ODE","diff1",0.235384303920801
"ODE-ODE","diff1",-0.147590275313883
"ODE-ODE","diff1",-0.081052461373341
"ODE-ODE","diff1",0.068686171377519
"ODE-ODE","diff1",0.151283974378049
"ODE-ODE","diff1",0.256008531149311
"ODE-ODE","diff1",0.089216273956513
"ODE-ODE","diff1",0.0300543730746133
"ODE-ODE","diff1",-0.204839319329693
"ODE-ODE","diff1",0.084618062507414
"ODE-ODE","diff1",0.132998124060432
"ODE-ODE","diff1",0.076190981129732
"ODE-ODE","diff1",0.260808955785267
"ODE-ODE","diff1",0.027555515781094
"ODE-ODE","diff1",-0.332778536287024
"ODE-ODE","diff1",-0.216042908336049
"ODE-ODE","diff1",-0.284748097101108
"ODE-ODE","diff1",-0.532952612386431
"ODE-ODE","diff1",-0.220409819884159
"ODE-ODE","diff1",0.042377148219613
"ODE-ODE","diff1",0.287182104254999
"ODE-ODE","diff1",0.0465209065470881
"ODE-ODE","diff1",0.120744263799535
"ODE-ODE","diff1",-0.202302373172502
"ODE-ODE","diff1",0.232917295578043
"ODE-ODE","diff1",-0.0397856532069504
"ODE-ODE","diff1",-0.480859661266327
"ODE-ODE","diff1",-0.251748718789062
"ODE-ODE","diff1",0.0401787202852743
"ODE-ODE","diff1",0.320703871667222
"ODE-ODE","diff1",0.139894876617146
"ODE-ODE","diff1",0.536504549559375
"ODE-ODE","diff1",0.157024693256911
"ODE-ODE","diff1",0.311872896015067
"ODE-ODE","diff1",-0.312048695562942
"ODE-ODE","diff1",0.301767470592198
"ODE-ODE","diff1",0.0222164249452742
"ODE-ODE","diff1",-0.0062442428877688
"ODE-ODE","diff1",0.111736742733156
"ODE-ODE","diff1",-0.042572669188555
"ODE-ODE","diff1",-0.062239591545546
"ODE-ODE","diff1",-0.0797870151455816
"ODE-ODE","diff1",-0.022320566152496
"ODE-ODE","diff1",-0.296759746447808
"ODE-ODE","diff1",-0.794981070546535
"ODE-ODE","diff1",0.041940620319382
"ODE-ODE","diff1",0.00067854763572384
"ODE-ODE","diff1",-0.086723889422572
"ODE-ODE","diff1",-0.442277436017745
"ODE-ODE","diff1",-0.0897935760541659
"ODE-ODE","diff1",0.13632416386206
"ODE-ODE","diff1",0.246599551420319
"ODE-ODE","diff1",-0.385307113572462
"ODE-ODE","diff1",0.669807039926213
"ODE-ODE","diff1",0.22332642406629
"ODE-ODE","diff1",0.050528747713702
"ODE-ODE","diff1",0.161926585825303
"ODE-ODE","diff1",-0.526023691954561
"ODE-ODE","diff1",0.121733472863081
"ODE-ODE","diff1",0.297863837186568
"ODE-ODE","diff1",0.558845396207691
"ODE-ODE","diff1",-0.0611741800660246
"ODE-ODE","diff1",-0.011515157131257
"ODE-ODE","diff1",0.191617764177382
"ODE-ODE","diff1",-0.055860230690721
"ODE-ODE","diff1",-0.0690903050893516
"ODE-ODE","diff1",-0.086638488506901
"ODE-ODE","diff1",0.607396082579866
"ODE-ODE","diff1",0.248355596140436
"ODE-ODE","diff1",-0.201275420072238
"ODE-ODE","diff1",-0.153273232379327
"ODE-ODE","diff1",-0.001781374223151
"ODE-ODE","diff1",0.0845755315637465
"ODE-ODE","diff1",-0.102350615841594
"ODE-ODE","diff1",-0.171922420833082
"ODE-ODE","diff1",-0.364529415825218
"ODE-ODE","diff1",0.0424909394163907
"ODE-ODE","diff1",-0.102172705624997
"ODE-ODE","diff1",-0.287049794076301
"ODE-ODE","diff1",-0.168018165860436
"ODE-ODE","diff1",0.129933809868933
"ODE-ODE","diff1",-0.257636631531838
"ODE-ODE","diff1",0.243627950372427
"ODE-ODE","diff1",-0.696816854792153
"ODE-ODE","diff1",-0.675212981859853
"ODE-ODE","diff1",0.194761285574042
"ODE-ODE","diff1",-0.202264874140967
"ODE-ODE","diff1",-0.0077250121820436
"ODE-ODE","diff1",0.0231669077420977
"ODE-ODE","diff1",0.458876036225048
"ODE-ODE","diff1",-0.18271586375334
"ODE-ODE","diff1",-0.360977207693215
"ODE-ODE","diff1",-0.086431568556064
"ODE-ODE","diff1",0.0678689324030048
"ODE-ODE","diff1",0.302248435373841
"ODE-ODE","diff1",-0.223897871168537
"ODE-ODE","diff1",0.102822109187388
"ODE-ODE","diff1",-0.117039616952123
"ODE-ODE","diff1",0.16665781923231
"ODE-ODE","diff1",0.086919291087223
"ODE-ODE","diff1",-0.0160056751304385
"ODE-ODE","diff1",-0.093908167821749
"ODE-ODE","diff1",0.277522697404933
"ODE-ODE","diff1",0.085291341128709
"ODE-ODE","diff1",-0.073362083434265
"ODE-ODE","diff1",-0.306708533129458
"ODE-ODE","diff1",-0.207619611798178
"ODE-ODE","diff1",0.119104430413036
"ODE-ODE","diff1",0.310501007582996
"ODE-ODE","diff1",-0.608847306304207
"ODE-ODE","diff1",-0.435880103844222
"ODE-ODE","diff1",-0.021088371188605
"ODE-ODE","diff1",-0.271779941182546
"ODE-ODE","diff1",0.197562966675751
"ODE-ODE","diff1",-0.020850197856187
"ODE-ODE","diff1",-0.0896157524674749
"ODE-ODE","diff1",-0.127861062234775
"ODE-ODE","diff1",-0.267954875355139
"ODE-ODE","diff1",-0.14953098315051
"ODE-ODE","diff1",0.322823135804933
"ODE-ODE","diff1",-0.118815475756579
"ODE-ODE","diff1",0.0887330668070725
"ODE-ODE","diff1",0.000212229705878003
"ODE-ODE","diff1",0.135137033308482
"ODE-ODE","diff1",0.191351935357243
"ODE-ODE","diff1",-0.00640308452059699
"ODE-ODE","diff1",0.518121125126091
"ODE-ODE","diff1",-0.032764149178473
"ODE-ODE","diff1",-0.0741680521451801
"ODE-ODE","diff1",-0.170332119250427
"ODE-ODE","diff1",-0.147147216317874
"ODE-ODE","diff1",-0.279087868450159
"ODE-ODE","diff1",-0.01577842934041
"ODE-ODE","diff1",-0.0955593364282106
"ODE-ODE","diff1",-0.072480919875483
"ODE-ODE","diff1",-1.36464366963837
"ODE-ODE","diff1",0.042360714771145
"ODE-ODE","diff1",-0.640645542591438
"ODE-ODE","diff1",-0.615637882820101
"ODE-ODE","diff1",0.30047363647875
"ODE-ODE","diff1",-0.204775173927177
"ODE-ODE","diff1",0.34437143977072
"ODE-ODE","diff1",0.0409161603718721
"ODE-ODE","diff1",-0.283281405025708
"ODE-ODE","diff1",0.168352705530894
"ODE-ODE","diff1",-0.470180743143219
"ODE-ODE","diff1",0.478160792032491
"ODE-ODE","diff1",0.230221781391859
"ODE-ODE","diff1",-0.0154035303535
"ODE-ODE","diff1",-0.196111406312805
"ODE-ODE","diff1",-0.0215238405789842
"ODE-ODE","diff1",0.256604593743621
"ODE-ODE","diff1",0.011805513040127
"ODE-ODE","diff1",0.311402603637306
"ODE-ODE","diff1",0.590589249025304
"ODE-ODE","diff1",-0.439739487727026
"ODE-ODE","diff1",-0.233468361175516
"ODE-ODE","diff1",0.216949314556446
"ODE-ODE","diff1",-0.050935443034135
"ODE-ODE","diff1",0.155211369101932
"ODE-ODE","diff1",-0.431398399484026
"ODE-ODE","diff1",0.074388838940067
"ODE-ODE","diff1",-0.260876364948206
"ODE-ODE","diff1",-0.83143253239018
"ODE-ODE","diff1",-0.444636433899213
"ODE-ODE","diff1",0.26163663825243
"ODE-ODE","diff1",0.179070807123421
"ODE-ODE","diff1",-0.335807965226003
"ODE-ODE","diff1",0.162296700967985
"ODE-ODE","diff1",0.0629087339532237
"ODE-ODE","diff1",0.278431664798234
"ODE-ODE","diff1",0.250406981147124
"ODE-ODE","diff1",0.199641034910226
"ODE-ODE","diff1",0.21695376077523
"ODE-ODE","diff1",0.037180990147307
"ODE-ODE","diff1",-0.135756670836229
"ODE-ODE","diff1",-0.022218529877112
"ODE-ODE","diff1",-0.016615894638463
"ODE-ODE","diff1",-0.452441035361992
"ODE-ODE","diff1",0.363523062044043
"ODE-ODE","diff1",-0.0336009941236993
"ODE-ODE","diff1",0.163096229179695
