"missing_points","mean","max","min","Estimator","diff","par"
1,0.999,1.02444982921104,0.975810915724993,"LSE",0.048638913486048,"alpha"
2,0.996510869956591,1.02655292306402,0.975893589987124,"LSE",0.0506593330768987,"alpha"
3,0.998814183499767,1.03090647071179,0.980120730240162,"LSE",0.0507857404716311,"alpha"
4,0.998602923804942,1.03732589957461,0.97281717553675,"LSE",0.0645087240378631,"alpha"
5,0.995219672186538,1.02850365498531,0.965802892700788,"LSE",0.0627007622845249,"alpha"
6,1.00195254057123,1.04939081087171,0.971488415495141,"LSE",0.0779023953765718,"alpha"
7,1.00098546021788,1.02770826986546,0.967213845174705,"LSE",0.0604944246907581,"alpha"
8,0.998862112990897,1.02713418330143,0.952459230631559,"LSE",0.074674952669874,"alpha"
9,0.991821760034704,1.02975566729105,0.966270504887958,"LSE",0.063485162403095,"alpha"
10,0.998808747200676,1.02468315517964,0.965628338770595,"LSE",0.0590548164090489,"alpha"
11,0.994690564169686,1.039042910686,0.962418149856889,"LSE",0.076624760829114,"alpha"
12,0.998124790314425,1.02668999443251,0.976311729179364,"LSE",0.050378265253149,"alpha"
13,1.00046869721176,1.04613291321376,0.967914886579883,"LSE",0.07821802663388,"alpha"
14,0.997721253794186,1.03712658524119,0.967706396917643,"LSE",0.0694201883235501,"alpha"
15,0.997747983991465,1.03817261487132,0.958311937096217,"LSE",0.0798606777751062,"alpha"
16,0.998196288722813,1.04890377261391,0.965284742997099,"LSE",0.0836190296168141,"alpha"
17,1.00080855220613,1.04983961297125,0.960804891388985,"LSE",0.0890347215822679,"alpha"
18,0.995774115469366,1.06396287495926,0.959678755823349,"LSE",0.104284119135914,"alpha"
19,0.997606797318518,1.05646443303939,0.95990373532442,"LSE",0.096560697714973,"alpha"
20,1.00064180324118,1.07463786084599,0.96858522308837,"LSE",0.106052637757623,"alpha"
21,0.992262404093356,1.05959528707322,0.955553659444574,"LSE",0.104041627628649,"alpha"
22,0.991577495184273,1.04149545778893,0.950345306800053,"LSE",0.0911501509888799,"alpha"
23,0.99459332038751,1.088123246068,0.936468578092548,"LSE",0.151654667975455,"alpha"
24,0.997491079631176,1.05586413792287,0.958184925111908,"LSE",0.0976792128109649,"alpha"
25,0.993031823126869,1.07030923150358,0.953372853604284,"LSE",0.116936377899299,"alpha"
26,0.994415121389686,1.06315335003309,0.946699787577282,"LSE",0.116453562455811,"alpha"
27,0.997071000883592,1.04005997429018,0.942979178239548,"LSE",0.0970807960506351,"alpha"
28,0.997865913231725,1.07983521383586,0.961795133554352,"LSE",0.118040080281511,"alpha"
29,0.994215840535159,1.05050901117582,0.943401010265266,"LSE",0.107108000910557,"alpha"
30,1.00223123641885,1.10153631193204,0.94043699945537,"LSE",0.161099312476673,"alpha"
1,0.97233345156711,0.980562378640344,0.96589595,"MLE",0.0146664286403441,"alpha"
2,0.972045325113526,0.987265878119301,0.963100507327156,"MLE",0.024165370792145,"alpha"
3,0.972031238011455,0.984063201624972,0.963484533784704,"MLE",0.020578667840268,"alpha"
4,0.972672216074928,0.993271529011203,0.964780425781968,"MLE",0.028491103229235,"alpha"
5,0.971963421786381,0.987475561330662,0.959969322749983,"MLE",0.027506238580679,"alpha"
6,0.972381374323426,0.99210346826376,0.960792196155147,"MLE",0.031311272108613,"alpha"
7,0.972777407858506,0.991717057613427,0.961229223078228,"MLE",0.030487834535199,"alpha"
8,0.974110022521818,0.987566219556848,0.960446645506223,"MLE",0.0271195740506249,"alpha"
9,0.975785096377594,0.991669311067839,0.961173182663595,"MLE",0.030496128404244,"alpha"
10,0.97561636687678,0.99054054,0.960099066157586,"MLE",0.030441473842414,"alpha"
11,0.976201795222693,0.993056460190303,0.964363728942089,"MLE",0.028692731248214,"alpha"
12,0.972120604506707,1.00482287872301,0.955710707495798,"MLE",0.049112171227212,"alpha"
13,0.975212362953554,1.00118610312342,0.959271658414577,"MLE",0.041914444708843,"alpha"
14,0.975330490788614,0.999372483272934,0.955790313354041,"MLE",0.0435821699188931,"alpha"
15,0.97650248941018,1.00959376167063,0.951893072868051,"MLE",0.0577006888025791,"alpha"
16,0.976062003847522,1.00635892236182,0.948022550656107,"MLE",0.0583363717057129,"alpha"
17,0.975470790930985,0.993693084962052,0.957586910393406,"MLE",0.036106174568646,"alpha"
18,0.97534494517563,1.00792140959082,0.955067037318138,"MLE",0.052854372272682,"alpha"
19,0.976728139632594,0.995996594579588,0.951807557570567,"MLE",0.044189037009021,"alpha"
20,0.974015611688349,1.00380480034274,0.950779442257232,"MLE",0.053025358085508,"alpha"
21,0.974827100519981,0.993393691076596,0.951979233927584,"MLE",0.041414457149012,"alpha"
22,0.976812376780496,1.0022179050635,0.948865807503029,"MLE",0.0533520975604711,"alpha"
23,0.973142260002555,0.998538693185604,0.947538153877402,"MLE",0.0510005393082019,"alpha"
24,0.976216591599702,1.01765018214523,0.946415540424057,"MLE",0.071234641721173,"alpha"
25,0.974783086966037,1.00296544939031,0.940097301042963,"MLE",0.062868148347347,"alpha"
26,0.976535673581282,1.00067335266724,0.943821136927392,"MLE",0.056852215739848,"alpha"
27,0.973991934220548,1.01501060207323,0.946805186204348,"MLE",0.068205415868882,"alpha"
28,0.975679610577546,1.00576957960044,0.946253536191928,"MLE",0.059516043408512,"alpha"
29,0.980253670220074,1.00775713125529,0.934491023689754,"MLE",0.073266107565536,"alpha"
30,0.976155113157109,1.00379991084732,0.936884607387514,"MLE",0.0669153034598059,"alpha"
1,0.869,0.888908422218222,0.8510101813732,"LSE",0.0378982408450219,"beta"
2,0.867066783448519,0.89082249599824,0.850653262141003,"LSE",0.040169233857237,"beta"
3,0.86886747839455,0.89417541838094,0.85440492701695,"LSE",0.03977049136399,"beta"
4,0.86867290769076,0.899625240953763,0.848013743283037,"LSE",0.051611497670726,"beta"
