"missing_points","mean","max","min","Estimator","diff","par"
1,0.695511136374517,0.702910762227822,0.687998011077026,"LSE",0.014912751150796,"alpha"
2,0.695830061507911,0.703058354068403,0.687098350452731,"LSE",0.015960003615672,"alpha"
3,0.695018006090873,0.70571525103957,0.685626870620343,"LSE",0.020088380419227,"alpha"
4,0.694979150925049,0.709168185490805,0.678216345158363,"LSE",0.0309518403324419,"alpha"
5,0.695571318510026,0.709381481929571,0.682781146961723,"LSE",0.026600334967848,"alpha"
6,0.695634486829382,0.711585286263794,0.679509810737929,"LSE",0.032075475525865,"alpha"
7,0.695636894931773,0.721540407539437,0.681717071723862,"LSE",0.0398233358155751,"alpha"
8,0.695513338802016,0.710194365910842,0.67687359423039,"LSE",0.033320771680452,"alpha"
9,0.695382122407695,0.71241749819092,0.676328601205374,"LSE",0.0360888969855461,"alpha"
10,0.695122749188865,0.716839387555108,0.671154864774329,"LSE",0.0456845227807791,"alpha"
11,0.692976997620982,0.716684427759948,0.667699994720764,"LSE",0.048984433039184,"alpha"
12,0.693955168476405,0.712449196113201,0.671565609052775,"LSE",0.0408835870604261,"alpha"
13,0.694347294717436,0.715757560710607,0.676185499029073,"LSE",0.039572061681534,"alpha"
14,0.695199875665505,0.719258654288596,0.677200048623533,"LSE",0.042058605665063,"alpha"
15,0.694827021935771,0.72632902325011,0.671029810625279,"LSE",0.055299212624831,"alpha"
16,0.696227310817651,0.718258169319465,0.673066419403994,"LSE",0.0451917499154709,"alpha"
17,0.696560400344712,0.73335243767287,0.663776557785566,"LSE",0.069575879887304,"alpha"
18,0.69658908210639,0.725456984183064,0.666863240025155,"LSE",0.0585937441579091,"alpha"
19,0.694168709554178,0.729915677271895,0.666301306881705,"LSE",0.06361437039019,"alpha"
20,0.692622581500679,0.737334846922933,0.665317817576407,"LSE",0.0720170293465261,"alpha"
21,0.697713608614614,0.732676932389106,0.677405404197875,"LSE",0.055271528191231,"alpha"
22,0.693157380140268,0.726265882572837,0.664752444569786,"LSE",0.061513438003051,"alpha"
23,0.695935487885348,0.725883520918735,0.671778661084427,"LSE",0.054104859834308,"alpha"
24,0.695386083623384,0.729205010799761,0.662783640815927,"LSE",0.066421369983834,"alpha"
25,0.695556836018169,0.724460405370005,0.662044889412297,"LSE",0.062415515957708,"alpha"
26,0.696049063383654,0.737385112324672,0.649640396162742,"LSE",0.0877447161619299,"alpha"
27,0.693876067494279,0.737348265308253,0.647760084076284,"LSE",0.089588181231969,"alpha"
28,0.695838129512003,0.732960496297394,0.666958450297141,"LSE",0.0660020460002531,"alpha"
29,0.694822006967755,0.735500106995234,0.65560610907708,"LSE",0.0798939979181541,"alpha"
30,0.696159875367515,0.728370299878792,0.670890815114407,"LSE",0.057479484764385,"alpha"
1,0.736616017478982,0.738115937320581,0.733405226638333,"MLE",0.00471071068224804,"alpha"
2,0.736695673411915,0.738748533198764,0.732396181115994,"MLE",0.00635235208276996,"alpha"
